F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.24, AccY:-0.39, AccZ:1.23, GyroX:-1.17, GyroY:138.64, GyroZ:33.63
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.19, AccY:-0.47, AccZ:1.06, GyroX:26.86, GyroY:152.29, GyroZ:23.32
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.11, AccY:-0.27, AccZ:0.99, GyroX:60.68, GyroY:164.36, GyroZ:15.73
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.01, AccY:-0.13, AccZ:0.91, GyroX:73.43, GyroY:161.28, GyroZ:14.65
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.05, AccY:-0.03, AccZ:0.78, GyroX:73.46, GyroY:161.57, GyroZ:12.13
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.13, AccY:0.02, AccZ:0.81, GyroX:65.55, GyroY:153.11, GyroZ:11.32
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.12, AccY:0.04, AccZ:0.74, GyroX:52.07, GyroY:143.10, GyroZ:8.37
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.13, AccY:0.01, AccZ:0.78, GyroX:41.95, GyroY:129.68, GyroZ:5.93
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.14, AccY:0.01, AccZ:0.76, GyroX:37.76, GyroY:115.11, GyroZ:4.11
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.15, AccY:0.03, AccZ:0.80, GyroX:27.70, GyroY:103.14, GyroZ:2.79
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.21, AccY:0.04, AccZ:0.84, GyroX:19.32, GyroY:89.98, GyroZ:2.54
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.23, AccY:0.01, AccZ:0.83, GyroX:12.54, GyroY:77.05, GyroZ:1.14
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:-0.27, AccY:-0.01, AccZ:0.82, GyroX:13.05, GyroY:68.56, GyroZ:-1.08
